DocID,Q1,Q2,Q3,Advocacy,Scientific_knowledge,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Med_expert,Professionalism,Communication,Collaboration,Managemnet
doc-01,4.34,4.08,4.55,4.24,4.08,3.87,3.47,4.28,4.33,4.27,4.43,4.1,3.77,4.39,4.07,4.03,4.32,4.43,4.33,4.78,4.11,4.39,4.39,4.323333333333333,3.9875000000000003,4.192,4.2125,4.4025
doc-02,4.28,4.49,4.18,4.26,4.43,4.03,3.44,4.27,4.19,4.21,4.28,4.2,4.06,4.42,4.05,4.34,4.16,4.25,4.46,4.47,4.21,4.37,4.21,4.316666666666666,3.9825,4.234,4.2,4.3775
doc-03,4.33,4.48,4.3,4.3,4.48,4.04,3.54,3.96,4.5,4.44,4.26,4.04,3.91,4.35,4.32,4.19,4.31,4.37,4.28,4.42,4.23,4.29,4.17,4.37,4.01,4.2,4.2975,4.305
doc-04,4.39,4.34,3.87,4.33,4.5,3.93,3.44,3.83,4.39,4.23,4.11,4.06,3.7,4.5,4.08,4.21,4.19,4.42,4.31,4.45,4.0,4.19,4.24,4.2,3.8975,4.119999999999999,4.225,4.2375
doc-05,4.48,4.41,4.5,4.51,4.15,4.18,3.71,4.17,4.58,4.24,4.21,4.17,3.94,4.26,4.38,4.29,4.03,4.19,4.38,4.6,4.1,4.45,4.03,4.463333333333334,4.16,4.164,4.2225,4.3825
doc-06,4.53,4.16,4.35,4.33,4.5,4.05,3.86,4.1,4.38,3.86,4.67,4.1,4.2,4.48,4.33,4.32,4.29,4.35,4.45,4.6,4.35,4.28,4.16,4.346666666666667,4.0975,4.262,4.3225,4.42
doc-07,4.3,4.0,4.43,4.41,4.09,4.05,3.48,4.62,4.09,4.35,4.0,4.04,3.86,4.5,4.23,4.0,4.09,4.38,4.22,4.67,3.95,4.17,4.24,4.243333333333333,4.06,4.15,4.175,4.2524999999999995
doc-08,4.5,4.33,4.11,4.62,4.65,4.23,3.43,4.28,4.57,4.13,4.23,3.81,4.0,4.33,4.27,4.1,4.03,4.41,4.37,4.69,4.34,4.5,4.4,4.3133333333333335,4.1275,4.1,4.2025,4.475
doc-09,4.39,4.63,4.2,4.21,4.58,4.22,3.42,4.07,4.19,4.19,4.03,4.06,4.25,4.66,4.18,3.97,4.06,4.46,4.42,4.67,4.61,4.07,3.94,4.406666666666666,3.9750000000000005,4.238,4.1674999999999995,4.4425
doc-10,4.7,4.53,4.26,4.62,4.33,3.85,3.67,3.9,4.22,4.24,4.65,4.24,4.26,4.7,4.1,4.2,4.24,4.44,4.32,4.56,3.9,4.37,4.1,4.496666666666667,3.91,4.418,4.245000000000001,4.2875
